date;cas_confirmes;deces;reanimation;hospitalises;gueris;susceptible
2020-01-24;3;0;0;3;0;66999997
2020-01-25;3;0;0;0;0;66999997
2020-01-26;3;0;0;0;0;0
2020-01-27;3;0;0;3;0;66999997
2020-01-28;4;0;1;4;0;66999996
2020-01-29;5;0;2;5;0;66999995
2020-01-30;6;0;2;6;0;66999994
2020-01-31;6;0;2;6;0;66999994
2020-02-02;6;0;1;6;0;66999994
2020-02-03;6;0;1;6;0;66999994
2020-02-04;6;0;1;6;0;66999994
2020-02-05;6;0;1;6;0;66999994
2020-02-06;6;0;0;6;0;66999994
2020-02-07;11;0;1;11;0;66999989
2020-02-08;11;0;1;11;0;66999989
2020-02-09;11;0;1;11;0;66999989
2020-02-10;11;0;1;11;0;66999989
2020-02-11;11;0;0;11;1;66999988
2020-02-12;11;0;1;11;2;66999987
2020-02-13;11;0;1;8;3;66999986
2020-02-15;12;1;0;7;4;66999983
2020-02-17;12;1;0;0;5;66999981
2020-02-19;12;1;0;4;7;66999980
2020-02-20;12;1;0;11;8;66999978
2020-02-21;12;1;0;1;10;66999977
2020-02-23;12;1;0;1;10;66999977
2020-02-24;12;1;0;0;11;66999976
2020-02-25;12;1;0;2;11;66999976
2020-02-26;17;2;0;4;12;66999969
2020-02-27;38;2;2;24;12;66999948
2020-02-28;38;2;0;0;12;66999948
2020-02-29;73;2;9;86;12;66999913
2020-03-01;130;2;9;116;12;66999856
2020-03-02;178;3;0;0;12;66999807
2020-03-03;212;4;0;0;12;66999772
2020-03-04;285;4;15;0;54;66999656
2020-03-05;423;5;23;0;96;66999475
2020-03-06;613;9;39;0;138;66999239
2020-03-07;949;11;45;0;180;66998859
2020-03-08;1126;19;0;0;222;66998632
2020-03-09;1412;30;66;0;264;66998293
2020-03-10;1784;33;86;0;307;66997876
2020-03-11;2281;48;105;0;349;66997321
2020-03-12;2876;61;129;0;391;66996671
2020-03-13;3661;79;0;0;433;66995826
2020-03-14;4499;91;300;0;475;66994934
2020-03-15;5423;127;0;400;517;66993932
2020-03-16;6633;148;0;0;559;66992659
2020-03-17;7730;175;699;2579;602;66991493
2020-03-18;9134;244;931;3626;1000;66989622
2020-03-19;10995;372;1122;4461;1300;66987333
2020-03-20;12612;450;1297;5226;1587;66985351
2020-03-21;14459;562;1525;6172;1893;66983085
2020-03-22;16689;674;1746;7240;2200;66980437
2020-03-23;19856;860;2082;8675;2740;66976543
2020-03-24;22302;1100;2516;10176;3281;66973317
2020-03-25;25233;1331;2827;11539;3900;66969536
2020-03-26;29155;1696;3375;13904;4948;66964201
2020-03-27;32964;1995;3787;15732;5692;66959349
2020-03-28;37575;2314;4273;17620;6436;66953675
2020-03-29;40174;2606;4632;19354;7180;66950040
2020-03-30;44550;3024;5107;21008;7924;66944502
2020-03-31;52128;3523;5565;22757;9444;66934905
2020-04-01;56989;4032;6017;24639;10935;66928044
2020-04-02;59105;4503;6399;26246;12428;66923964
2020-04-03;64338;5091;6662;27432;14008;66916563
2020-04-04;68605;5532;6838;28143;15438;66910425
2020-04-05;70478;5889;6978;28891;16183;66907450
2020-04-06;74390;6494;7072;29722;17250;66901866
2020-04-07;78167;7091;7131;30027;19337;66895405
2020-04-08;82048;7632;7148;30375;21254;66889066
2020-04-09;86334;8044;7066;30767;23206;66882416
2020-04-10;90676;8598;7004;31267;24932;66875794
2020-04-11;93790;8943;6883;31320;26391;66870876
2020-04-12;95403;9253;6845;31826;27186;66868158
2020-04-13;98076;9588;6821;32113;27718;66864618
2020-04-14;103573;10129;6730;32292;28805;66857493
2020-04-15;106206;10643;6457;31779;30995;66852156
2020-04-16;108847;11060;6248;31305;32812;66847281
2020-04-17;109252;11478;6027;31190;34420;66844850
2020-04-18;111821;11842;5833;30639;35983;66840354
2020-04-19;112606;12069;5744;30610;36578;66838747
2020-04-20;114657;12513;5683;30584;37409;66835421
2020-04-21;117324;12900;5433;30106;39181;66830595
2020-04-22;119151;13236;5218;29741;40657;66826956
2020-04-23;120804;13547;5053;29219;42088;66823561
2020-04-24;122577;13852;4870;28658;43493;66820078
2020-04-25;124114;14050;4725;28222;44594;66817242
2020-04-26;124575;14202;4682;28217;44903;66816320
2020-04-27;128339;14497;4608;28055;45513;66811651
2020-04-28;129859;14810;4387;27484;46886;66808445
2020-04-29;128442;15053;4207;26834;48228;66808277
2020-04-30;129581;15244;4019;26283;49476;66805699
2020-05-01;130185;15369;3878;25887;50212;66804234
2020-05-02;130979;15487;3827;25827;50562;66802972
2020-05-03;131287;15583;3819;25815;50784;66802346
2020-05-04;131863;15826;3696;25548;51371;66800940
2020-05-05;132967;16060;3430;24775;52736;66798237
2020-05-06;137150;16237;3147;23983;53972;66792641
2020-05-07;137779;16386;2961;23208;55027;66790808
2020-05-08;138421;16497;2868;22724;55782;66789300
2020-05-09;138854;16573;2812;22614;56038;66788535
2020-05-10;139063;16642;2776;22569;56217;66788078
2020-05-11;139519;16820;2712;22284;56724;66786937
2020-05-12;140227;17003;2542;21595;57785;66784985
2020-05-13;140734;17101;2428;21071;58673;66783492
2020-05-14;141356;17224;2299;20463;59605;66781815
2020-05-15;141919;17342;2203;19861;60448;66780291
2020-05-16;142291;17412;2132;19432;61066;66779231
2020-05-17;142411;17466;2087;19361;61213;66778910
2020-05-18;142903;17589;1998;19015;61728;66777780
2020-05-19;143427;17714;1894;18468;62563;66776296
2020-05-20;143845;17812;1794;17941;63354;66774989
2020-05-21;144163;17870;1745;17583;63858;66774109
2020-05-22;144556;17944;1701;17383;64209;66773291
2020-05-23;144806;17987;1665;17178;64547;66772660
2020-05-24;144921;18022;1655;17185;64617;66772440
2020-05-25;145279;18112;1609;16798;65199;66771410
2020-05-26;145555;18195;1555;16264;65879;66770371
